Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Ngô Dynasty / 吴朝（静海军）,939,965,Vietnamese / 京,Old Vietnamese / 上古越南语,Vietnamese Folk Religion / 越南民间信仰,Ngô Quyền / 吴权,Cổ Loa / 古螺,Hanoi / 河内,VNM,Southeast Asia / 东南亚,26,80,0.6,,D,D,D,C,C,C,C,C,C,,35
Principality of Polotsk / 波洛茨克公国,945,1307,Rus' / 罗斯,Old East Slavic / 古东斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Rogvolod / 罗格沃洛德,Polotsk / 波洛茨克,Polotsk / 波洛茨克,BLR,East Europe / 东欧,362,100,0.4,,A,C,D,B,C,C,C,C,C,,43
Later Han / 后汉,947,951,Shatuo Turk / 沙陀（突厥）,Middle Chinese / 中古汉语,Confucianism / 儒家,Liu Zhiyuan / 刘知远,Kaifeng / 开封,Kaifeng / 开封,CHN,East Asia / 东亚,4,1050,9,,D,B,C,D,C,C,D,C,D,,34
Paramara Dynasty / 帕拉玛拉王朝,948,1305,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Siyaka / 西亚卡,Dhar / 达尔,Dhar / 达尔,IND,South Asia / 南亚,357,100,1,,A,C,D,C,C,B,C,C,C,,43
Qingyuan Prefecture / 清源军,949,978,Han / 汉,Min Chinese / 闽语,Mahayana Buddhism / 佛教（大乘佛教）,Liu Congxiao / 留从效,Quanzhou / 泉州,Quanzhou / 泉州,CHN,East Asia / 东亚,29,36,0.8,,D,D,D,B,C,C,C,C,B,,39
Sultanate of Mogadishu / 摩加迪沙苏丹国,950,1550,Somali / 索马里,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Abubakr bin Fakhr ad‑Din / 阿布·伯克尔·本·法赫尔·丁,Mogadishu / 摩加迪沙,Mogadishu / 摩加迪沙,SOM,East Africa / 东非,600,150,0.15,,S,C,D,B,C,B,B,C,C,,50
Tuʻi Tonga Empire / 图伊汤加帝国,950,1865,Tongan / 汤加,Tongan / 汤加语,Tongan Animism / 汤加原始信仰,ʻAhoʻeitu / 阿霍埃图,Muʻa / 姆阿,Muʻa / 姆阿,TON,Polynesia / 波利尼西亚,915,0.7,0.03,,S,D,D,B,B,B,C,B,C,,50
Chudasama Dynasty / 朱达萨马王朝,950,1472,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Chudachandra / 朱达昌德拉,Junagadh / 朱纳格特,Junagadh / 朱纳格特,IND,South Asia / 南亚,522,10,0.1,,S,D,D,C,C,B,D,C,C,,39
Yapese Empire / 雅浦帝国,950,1400,Yapese / 雅浦,Yapese / 雅浦,Yapese Animism / 雅浦原始信仰,Yangolap / 杨格拉普,Gagil / 加吉尔,Gagil / 加吉尔,FSM,Micronesia / 密克罗尼西亚,450,0.12,0.05,,A,D,D,C,C,D,D,C,C,,32
Later Zhou / 后周,951,960,Han / 汉,Middle Chinese / 中古汉语,Confucianism / 儒家,Guo Wei / 郭威,Kaifeng / 开封,Kaifeng / 开封,CHN,East Asia / 东亚,9,1150,13,,D,B,B,B,B,C,C,B,B,,52
Northern Han / 北汉（十国）,951,979,Shatuo Turk / 沙陀（突厥）,Middle Chinese / 中古汉语,Confucianism / 儒家,Liu Min / 刘旻,Taiyuan / 太原,Taiyuan / 太原,CHN,East Asia / 东亚,28,60,0.5,,D,D,D,C,C,C,D,C,C,,32
Western Chalukya Empire / 西遮娄其王朝,957,1184,Kannadiga / 卡纳达（达罗毗荼）,Kannada / 卡纳达语,Hinduism / 印度教,Tailapa II / 逮罗二世,Kalyani / 卡利亚尼,Basavakalyan / 巴萨瓦卡尔延,IND,South Asia / 南亚,227,220,8,,A,C,C,B,B,B,B,B,B,,57
Kilwa Sultanate / 基尔瓦苏丹国,957,1513,Swahili / 斯瓦希里,Swahili / 斯瓦希里语,Sunni Islam / 伊斯兰教（逊尼派）,Ali ibn al-Hassan Shirazi / 阿里·伊本·哈桑·设拉子,Kilwa Kisiwani / 基尔瓦基斯瓦尼,Kilwa Masoko / 基尔瓦马索科,TZA,East Africa / 东非,556,60,0.25,,S,D,D,B,C,B,C,C,C,,45
Hasanwayhid Dynasty / 哈桑韦希德王朝,959,1015,Kurdish / 库尔德,Kurdish / 库尔德语,Shia Islam / 伊斯兰教（什叶派）,Hasanwayh ibn Husayn al-Barzikani / 哈桑韦希·伊本·侯赛因,Dinavar / 迪纳瓦尔,Shirkhan / 希尔汗,IRN,West Asia / 西亚,56,250,1.6,,C,C,D,C,C,C,C,C,C,,38
Northern Song / 北宋,960,1127,Han / 汉,Middle Chinese / 中古汉语,Confucianism / 儒家,Zhao Kuangyin / 赵匡胤,Kaifeng / 开封,Kaifeng / 开封,CHN,East Asia / 东亚,167,2800,126,,B,B,S,A,C,A,A,A,A,,73
Kingdom of Simien / 瑟门王国,960,1329,Jew / 犹太,Ge'ez / 吉兹语,Judaism / 犹太教,Gudit / 古迪特,Amba Yehouda / 耶胡达山堡,Simien Mountains / 瑟门山脉,ETH,East Africa / 东非,369,50,0.25,,A,D,D,D,C,C,D,C,D,,31
Holy Roman Empire / 神圣罗马帝国,962,1806,German / 德意志,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Otto the Great / 奥托一世,Aachen / 亚琛,Aachen / 亚琛,DEU,Central Europe / 中欧,844,900,16,,S,C,B,B,C,A,B,C,C,,57
Civitas Schinesghe / 波兰公国,966,1025,Pole / 波兰,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Mieszko I / 梅什科一世,Gniezno / 格涅兹诺,Gniezno / 格涅兹诺,POL,Central Europe / 中欧,59,250,0.8,,C,C,D,D,C,C,D,C,D,,31
Đinh Dynasty / 丁朝（大瞿越）,968,980,Vietnamese / 京,Old Vietnamese / 上古越南语,Vietnamese Folk Religion / 越南民间信仰,Đinh Bộ Lĩnh / 丁部领,Hoa Lư / 华闾,Hoa Lư / 华闾,VNM,Southeast Asia / 东南亚,12,80,0.5,,D,D,D,C,C,C,C,B,C,,37
Kingdom of Sweden (Medieval) / 瑞典王国（中世纪）,970,1397,Swede / 瑞典,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Eric the Victorious / 胜利者埃里克,Uppsala / 乌普萨拉,Gamla Uppsala / 老乌普萨拉,SWE,North Europe / 北欧,427,400,1,,A,C,D,C,C,C,C,C,C,,40
Hoysala Kingdom / 曷萨拉王朝,976,1346,Kannadiga / 卡纳达（达罗毗荼）,Kannada / 卡纳达语,Hinduism / 印度教,Nripa Gama I / 尼聂巴·加玛一世,Halebidu / 哈勒比德,Halebidu / 哈勒比德,IND,South Asia / 南亚,370,160,2,,A,C,D,B,B,B,B,B,C,,54
Ghaznavid Empire / 加兹尼王朝,977,1186,Persian / 波斯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Sabuktigin / 苏布克特勤,Ghazni / 加兹尼,Ghazni / 加兹尼,AFG,West Asia / 西亚,209,3400,22,,A,A,B,B,A,A,C,A,C,,67
Kingdom of Tashir-Dzoraget / 塔希尔-佐拉盖特王国,979,1118,Armenian / 亚美尼亚,Classical Armenian / 古典亚美尼亚语,Oriental Orthodoxy / 基督教（东方正统教会）,Kiurike I / 居里克一世,Matsnaberd / 马茨纳贝尔德,Dashkasan / 达什卡桑,AZE,West Asia / 西亚,139,10,0.1,,B,D,D,C,C,B,C,C,C,,40
Anterior Lê Dynasty / 前黎朝（大瞿越）,980,1009,Vietnamese / 京,Old Vietnamese / 上古越南语,Vietnamese Folk Religion / 越南民间信仰,Lê Hoàn / 黎桓,Hoa Lư / 华闾,Hoa Lư / 华闾,VNM,Southeast Asia / 东南亚,29,80,0.6,,D,D,D,C,B,C,C,B,C,,40
Marwanid Dynasty / 马尔万王朝,983,1085,Kurdish / 库尔德,Kurdish / 库尔德语,Sunni Islam / 伊斯兰教（逊尼派）,Badh ibn Dustak / 巴德·伊本·杜斯塔克,Mayyafariqin / 马亚法里勤,Silvan / 锡尔万,TUR,West Asia / 西亚,102,100,0.6,,B,C,D,C,C,C,C,C,C,,39
Kingdom of France / 法兰西王国,987,1792,French / 法兰西,French / 法语,Catholicism / 基督教（天主教）,Hugh Capet / 于格·卡佩,Paris / 巴黎 ,Paris / 巴黎 ,FRA,West Europe / 西欧,805,8000,28,,S,A,B,A,A,A,B,A,C,,74
Principality of Volhynia / 沃伦公国,987,1199,Rus' / 罗斯,Old East Slavic / 古东斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Vsevolod I Yaroslavich / 弗谢沃洛德一世·雅罗斯拉维奇,Volodymyr / 沃洛德米尔,Volodymyr / 沃洛德米尔,UKR,East Europe / 东欧,212,80,0.4,,A,D,D,C,C,C,C,C,C,,38
Uqaylid Dynasty / 乌凯勒王朝,996,1096,Arab / 阿拉伯,Classical Arabic / 古典阿拉伯语,Shia Islam / 伊斯兰教（什叶派）,Al-Muqallad ibn al-Musayyab / 穆卡莱德·伊本·穆萨亚布,Mosul / 摩苏尔,Mosul / 摩苏尔,IRQ,West Asia / 西亚,100,200,2,,B,C,D,C,C,C,C,C,C,,39
Kingdom of Kano / 卡诺王国,999,1805,Hausa / 豪萨,Hausa / 豪萨语,Hausa Animism / 豪萨宗教,Bagauda / 巴加乌达,Kano / 卡诺,Kano / 卡诺,NGA,West Africa / 西非,806,60,0.8,,S,D,D,B,C,B,C,B,C,,47
Kingdom of Hungary / 匈牙利王国,1000,1526,Magyar / 马扎尔,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Stephen I / 伊什特万一世,Buda / 布达,Budapest / 布达佩斯,HUN,Central Europe / 中欧,526,380,4,,S,C,C,B,B,B,B,B,C,,57
Republic of Pisa / 比萨共和国,1000,1406,Italian / 意大利,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Giovanni Orlandi / 乔万尼·奥兰迪,Pisa / 比萨,Pisa / 比萨,ITA,South Europe / 南欧,406,20,0.3,,A,D,D,C,C,B,C,C,C,,41
League of Mayapan / 玛雅潘联盟,1007,1441,Maya / 玛雅,Yucatec Maya / 尤卡坦玛雅语,Maya Polytheism / 玛雅多神教,Ah Mekat Tutul Xiu / 阿·梅卡特·图图尔·休,Mayapan / 玛雅潘,Tecoh / 特科赫,MEX,Central America / 中美,434,40,2,,A,D,D,C,C,C,C,C,C,,38
Kingdom of Georgia / 格鲁吉亚王国,1008,1490,Georgian / 格鲁吉亚,Middle Georgian / 中古格鲁吉亚语,Eastern Orthodoxy / 基督教（东正教）,Bagrat III / 巴格拉特三世,Tiflis / 梯弗里斯,Tbilisi / 第比利斯,GEO,West Asia / 西亚,482,200,1,,A,C,D,A,B,A,B,A,B,,63
Kakuyid Dynasty / 卡库伊王朝,1008,1141,Daylamite / 德莱木,Persian / 波斯语,Shia Islam / 伊斯兰教（什叶派）,Ala al-Dawla Muhammad / 阿拉·道莱·穆罕默德,Yazd / 亚兹德,Yazd / 亚兹德,IRN,West Asia / 西亚,133,250,2.5,,B,C,D,C,C,B,C,C,C,,42
Lý Dynasty / 李朝（大越）,1009,1225,Vietnamese / 京,Old Vietnamese / 上古越南语,Mahayana Buddhism / 佛教（大乘佛教）,Lý Công Uẩn / 李公蕴,Thăng Long / 昇龙,Hanoi / 河内,VNM,Southeast Asia / 东南亚,216,120,1.2,,A,C,D,B,B,B,B,A,B,,57
Taifa of Badajoz / 巴达霍斯泰法,1009,1150,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Sabur al-Saqlabi / 萨布尔·萨克拉比,Batalyaws / 巴塔利奥斯,Badajoz / 巴达霍斯,ESP,South Europe / 南欧,141,60,0.5,,B,D,D,C,C,B,C,C,C,,40
Taifa of Valencia / 巴伦西亚泰法,1010,1065,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Mubārak al-Saqlabi / 穆巴拉克·萨克拉比,Valencia / 巴伦西亚,Valencia / 巴伦西亚,ESP,South Europe / 南欧,55,15,0.15,,C,D,D,B,C,B,C,C,C,,42
Taifa of Almería / 阿尔梅里亚泰法,1010,1091,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Ibn Aflah / 伊本·阿夫拉赫,Almería / 阿尔梅里亚,Almería / 阿尔梅里亚,ESP,South Europe / 南欧,81,15,0.2,,C,D,D,B,C,B,C,C,C,,42
Taifa of Dénia / 德尼亚泰法,1010,1076,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Mujahid al-Muwaffaq / 穆贾希德·穆瓦法克,Dénia / 德尼亚,Dénia / 德尼亚,ESP,South Europe / 南欧,66,15,0.15,,C,D,D,B,C,C,C,C,C,,39
Kingdom of Zazzau / 扎造王国,1010,1902,Hausa / 豪萨,Hausa / 豪萨语,Sunni Islam / 伊斯兰教（逊尼派）,Gunguma / 贡古马,Zazzau / 扎造,Zaria / 扎里亚,NGA,West Africa / 西非,892,80,0.9,,S,D,D,C,C,C,C,C,C,,39
Taifa of Zaragoza / 萨拉戈萨泰法,1013,1110,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Al-Mundhir I / 蒙德希尔一世,Zaragoza / 萨拉戈萨,Zaragoza / 萨拉戈萨,ESP,South Europe / 南欧,97,35,0.5,,C,D,D,B,B,B,C,C,B,,46
Taifa of Granada / 格拉纳达泰法,1013,1090,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Zawi ibn Ziri / 扎维·伊本·齐里,Granada / 格拉纳达,Granada / 格拉纳达,ESP,South Europe / 南欧,77,20,0.2,,C,D,D,C,C,B,C,C,C,,39
Hammadid Dynasty / 哈马德王朝,1014,1152,Berber / 柏柏尔,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Hammad ibn Buluggin / 哈马德·伊本·布卢金,Qal'at Bani Hammad / 卡拉,Maadid / 马阿迪德,DZA,North Africa / 北非,138,200,0.7,,B,C,D,B,B,B,C,B,B,,51
Kingdom of Kakheti-Hereti / 卡赫季-赫雷季王国,1014,1104,Georgian / 格鲁吉亚,Middle Georgian / 中古格鲁吉亚语,Eastern Orthodoxy / 基督教（东正教）,Kvirike III / 格维里克三世,Telavi / 泰拉维,Telavi / 泰拉维,GEO,West Asia / 西亚,90,25,0.25,,C,D,D,C,C,C,C,C,C,,36
Taifa of Majorca / 马略卡泰法,1018,1203,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Mujahid al-Amiri / 穆贾希德·阿米里,Palma / 帕尔马,Palma / 帕尔马,ESP,South Europe / 南欧,185,5,0.1,,B,D,D,C,C,C,C,C,C,,37
Kahuripan / 卡胡里潘,1019,1045,Javanese / 爪哇,Old Javanese / 古爪哇语,Hinduism / 印度教,Airlangga / 艾尔朗加,Kahuripan / 卡胡里潘,Pasuruan / 岩望,IDN,Southeast Asia / 东南亚,26,25,0.3,,D,D,D,B,B,B,C,B,C,,46
Judicate of Cagliari / 卡利亚里王国,1020,1258,Sardinian / 撒丁,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Constantine I / 康斯坦丁一世,Santa Igia / 圣伊吉亚,Cagliari / 卡利亚里,ITA,South Europe / 南欧,238,7,0.15,,A,D,D,C,C,C,D,C,C,,35
Judicate of Gallura / 加卢拉王国,1020,1296,Sardinian / 撒丁,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Manfred / 曼弗雷德,Civita / 奇维塔,Olbia / 奥尔比亚,ITA,South Europe / 南欧,276,5,0.1,,A,D,D,C,C,C,D,C,C,,35
Najahid Dynasty / 纳贾赫王朝,1022,1158,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Al‑Muʾayyad Najah / 穆艾亚德·纳贾赫,Zabid / 宰比德,Zabid / 宰比德,YEM,West Asia / 西亚,136,150,0.3,,B,C,D,C,C,C,C,C,C,,39
Taifa of Seville / 塞维利亚泰法,1023,1091,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Abu al-Qasim / 阿布·卡西姆,Seville / 塞维利亚,Seville / 塞维利亚,ESP,South Europe / 南欧,68,50,0.6,,C,D,D,B,B,B,C,C,B,,46
Principality of Chernigov / 切尔尼戈夫公国,1024,1402,Rus' / 罗斯,Old East Slavic / 古东斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Mstislav Vladimirovich / 姆斯季斯拉夫·弗拉基米罗维奇,Chernihiv / 切尔尼戈夫,Chernihiv / 切尔尼戈夫,UKR,East Europe / 东欧,378,150,0.7,,A,C,D,C,B,C,C,C,C,,43
Mirdasid Dynasty / 米尔达西王朝,1024,1080,Arab / 阿拉伯,Arabic / 阿拉伯语,Shia Islam / 伊斯兰教（什叶派）,Salih ibn Mirdas / 萨利赫·伊本·米尔达西,Aleppo / 阿勒颇,Aleppo / 阿勒颇,SYR,West Asia / 西亚,56,70,0.5,,C,D,D,C,C,C,C,C,C,,36
Kingdom of Poland / 波兰王国,1025,1569,Pole / 波兰,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Bolesław I the Brave / 波列斯瓦夫一世,Kraków / 克拉科夫,Kraków / 克拉科夫,POL,Central Europe / 中欧,544,260,3.5,,S,C,C,B,B,A,B,B,C,,60
Soomra Dynasty / 苏美拉王朝,1026,1351,Indo-Aryan / 印度-雅利安,Sindhi / 信德语,Shia Islam / 伊斯兰教（什叶派）,Soomra / 苏美拉,Thari / 塔里,Badin / 伯丁,PAK,South Asia / 南亚,325,30,1,,A,D,D,C,C,B,C,C,C,,41
Kingdom of Amber / 斋浦尔土邦,1028,1818,Indo-Aryan / 印度-雅利安,Dhundari / 敦达里语,Hinduism / 印度教,Dulha Rai / 杜尔哈·拉伊,Amber / 阿姆贝尔,Amber / 阿姆贝尔,IND,South Asia / 南亚,790,40,1,,S,D,D,B,B,B,C,B,C,,50
Judicate of Logudoro / 鲁古多罗王国,1028,1259,Sardinian / 撒丁,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Barisone I / 巴里索内一世,Ardara / 阿尔达拉,Ardara / 阿尔达拉,ITA,South Europe / 南欧,231,8,0.12,,A,D,D,C,C,C,D,C,C,,35
Nasrid Dynasty / 纳斯尔王朝,1029,1225,Persian / 波斯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Tadj al‑Din I  / 塔吉·丁一世,Zaranj / 扎兰季,Zaranj / 扎兰季,AFG,West Asia / 西亚,196,150,0.7,,B,C,D,C,C,C,C,C,C,,39
Taifa of Toledo / 托莱多泰法,1031,1085,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Ismail al-Zahir / 伊斯梅尔·扎希尔,Toledo / 托莱多,Toledo / 托莱多,ESP,South Europe / 南欧,54,70,0.5,,C,D,D,C,C,B,C,C,C,,39
Kingdom of Aragon / 阿拉贡王国,1035,1162,Hispano-Roman / 希斯帕诺-罗马,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Ramiro I / 拉米罗一世,Jaca / 哈卡,Jaca / 哈卡,ESP,South Europe / 南欧,127,40,0.4,,B,D,D,C,B,B,C,C,C,,43
Seljuk Empire / 塞尔柱帝国,1037,1194,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Tughril / 图赫里勒·贝格,Isfahan / 伊斯法罕,Isfahan / 伊斯法罕,IRN,West Asia / 西亚,157,3900,25,,B,A,B,A,A,A,B,A,B,,73
Western Xia / 西夏,1038,1127,Tangut / 党项,Tangut / 西夏语,Mahayana Buddhism / 佛教（大乘佛教）,Li Yuanhao / 李元昊,Xingqing / 兴庆,Yinchuan / 银川,CHN,East Asia / 东亚,89,900,2.5,,C,C,D,C,B,C,C,B,C,,43
Kediri Kingdom / 谏义里,1042,1222,Javanese / 爪哇,Old Javanese / 古爪哇语,Hinduism / 印度教,Śrī Samaravijaya / 斯里·萨马拉贾维亚,Dahanapura / 达哈,Kediri / 谏义里,IDN,Southeast Asia / 东南亚,180,30,0.5,,B,D,D,B,B,B,C,B,C,,48
Kingdom of Nri / 尼里王国,1043,1912,Igbo / 伊博,Igbo / 伊博语,Igbo Religion / 伊博宗教,Ìfikuánim / 伊菲库阿尼姆,Igbo-Ukwu / 伊博乌库,Igbo-Ukwu / 伊博乌库,NGA,West Africa / 西非,869,90,0.7,,S,D,D,C,D,B,C,B,C,,41
Janggala / 重迦罗,1045,1136,Javanese / 爪哇,Old Javanese / 古爪哇语,Hinduism / 印度教,Mapanji Garasakan / 马潘吉·加拉萨坎,Hujung Galuh / 胡宗加卢,Surabaya / 泗水,IDN,Southeast Asia / 东南亚,91,12,0.4,,C,D,D,C,C,C,C,C,C,,36
Sulayhid Dynasty / 苏莱希王朝,1047,1138,Arab / 阿拉伯,Arabic / 阿拉伯语,Shia Islam / 伊斯兰教（什叶派）,Ali al‑Sulayhi / 阿里·苏莱希,Sana'a / 萨那,Sana'a / 萨那,YEM,West Asia / 西亚,91,400,0.5,,C,C,D,B,B,B,C,B,C,,49
Zirid Dynasty / 齐里王朝,1048,1148,Berber / 柏柏尔,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Al-Mu'izz ibn Badis / 穆伊兹·伊本·巴迪斯,Mahdia / 马赫迪耶,Mahdia / 马赫迪耶,TUN,North Africa / 北非,100,350,1.2,,B,C,D,C,C,B,C,C,C,,42
Almoravid Dynasty / 穆拉比特王朝,1050,1147,Berber / 柏柏尔,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Yahya ibn Umar / 叶海亚·本·奥马尔,Marrakesh / 马拉喀什,Marrakesh / 马拉喀什,MAR,North Africa / 北非,97,1000,4,,C,B,C,A,A,A,C,B,B,,63
Kingdom of Hormuz / 忽里模子,1050,1622,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Muhammad Diramku / 穆罕默德·迪拉姆库,Hormuz / 霍尔木兹,Hormuz / 霍尔木兹,IRN,West Asia / 西亚,572,20,0.1,,S,D,D,B,B,B,C,B,B,,51
Khasa Kingdom / 卡萨王国,1050,1350,Khasa / 卡萨（印度-雅利安）,Sanskrit / 梵语,Hinduism / 印度教,Nāgarāja / 那伽罗阇,Sinja Valley / 辛贾山谷,Sinja Valley / 辛贾山谷,NPL,South Asia / 南亚,300,35,0.5,,A,D,D,C,B,B,C,C,C,,44
Principality of Pereyaslavl / 佩列亚斯拉夫公国,1054,1239,Rus' / 罗斯,Old East Slavic / 古东斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Vsevolod I Yaroslavich / 弗谢沃洛德一世·雅罗斯拉维奇,Pereiaslav / 佩列亚斯拉夫,Pereiaslav / 佩列亚斯拉夫,UKR,East Europe / 东欧,185,100,0.6,,B,C,D,C,C,C,C,C,C,,39
Principality of Smolensk / 斯摩棱斯克公国,1054,1404,Rus' / 罗斯,Old East Slavic / 古东斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Vyacheslav Yaroslavich / 维亚切斯拉夫·雅罗斯拉维奇,Smolensk / 斯摩棱斯克,Smolensk / 斯摩棱斯克,RUS,East Europe / 东欧,350,90,0.6,,A,D,D,C,C,C,C,C,C,,38
Kingdom of Polonnaruwa / 波隆纳鲁沃王国,1055,1232,Sinhala / 僧伽罗（印度-雅利安）,Sinhala / 僧伽罗语,Theravāda Buddhism / 佛教（上座部佛教）,Vijayabahu I / 毗阇耶巴胡一世,Vijayarajapura / 毗阇耶罗阇补罗,Polonnaruwa / 波隆纳鲁沃,LKA,South Asia / 南亚,177,67,2,,B,D,D,B,B,B,B,B,B,,52
Judicate of Arborea / 阿尔博雷亚王国,1060,1420,Sardinian / 撒丁,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Marianus I / 马里亚努斯一世,Oristano / 奥里斯塔诺,Oristano / 奥里斯塔诺,ITA,South Europe / 南欧,360,10,0.2,,A,D,D,C,C,B,C,B,C,,43
Sultanate of Dahlak / 达赫拉克苏丹国,1061,1557,Dahalik / 达哈利克,Dahalik / 达哈利克语,Sunni Islam / 伊斯兰教（逊尼派）,Mubarak / 穆巴拉克,Dahlak Kebir / 大达赫拉克,Dahlak Kebir / 大达赫拉克,ERI,East Africa / 东非,496,3,0.05,,A,D,D,C,C,C,C,C,C,,38
Kingdom of Castile / 卡斯蒂利亚王国,1065,1230,Hispano-Roman / 希斯帕诺-罗马,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Sancho II / 桑乔二世,Burgos / 布尔戈斯,Burgos / 布尔戈斯,ESP,South Europe / 南欧,165,120,1,,B,C,D,C,B,B,C,C,C,,45
Kingdom of England / 英格兰王国,1066,1707,English / 英格兰,Middle English / 中古英语,Catholicism / 基督教（天主教）,William the Conqueror / 征服者威廉,London / 伦敦,London / 伦敦,GBR,West Europe / 西欧,641,150,6,,S,C,C,A,A,A,B,A,B,,69
Sena Dynasty / 犀那王朝,1070,1230,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Samanta Sena / 犀那藩王,Bikrampur / 毗伽罗摩补罗,Munshiganj / 蒙希甘杰,BGD,South Asia / 南亚,160,300,11,,B,C,B,C,C,B,C,C,C,,46
County of Sicily / 西西里伯国,1071,1130,Norman / 诺曼,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Roger I / 鲁杰罗一世,Palermo / 巴勒莫,Palermo / 巴勒莫,ITA,South Europe / 南欧,59,26,1.2,,C,D,D,B,B,B,C,B,B,,48
Danishmendids / 达尼什曼德王朝,1071,1178,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Danishmend Gazi / 达尼什曼德加齐,Sivas / 锡瓦斯,Sivas / 锡瓦斯,TUR,West Asia / 西亚,107,150,0.7,,B,C,D,C,C,C,C,C,C,,39
Uyunid Emirate / 乌尤尼酋长国,1076,1238,Arab / 阿拉伯,Arabic / 阿拉伯语,Shia Islam / 伊斯兰教（什叶派）,Abdullah bin Ali Al-Uyuni / 阿卜杜拉·本·阿里 ,Al-Ahsa /  哈萨,Al-Ahsa /  哈萨,SAU,West Asia / 西亚,162,250,0.2,,B,C,D,C,C,C,C,C,C,,39
Eastern Ganga Dynasty / 东恒伽王朝,1077,1436,Odia / 奥里亚（印度-雅利安）,Odia / 奥里亚语,Hinduism / 印度教,Anantavarman Chodaganga / 阿南泰伐摩·朱达恒伽提婆,Kataka / 克塔克,Cuttack / 克塔克,IND,South Asia / 南亚,359,200,7,,A,C,C,B,B,B,B,B,B,,57
Khwarazmian Empire / 花剌子模帝国,1077,1231,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Anushtegin Gharchai / 阿努什的斤·加尔察,Gurganj / 乌尔根奇,Konye-Urgench / 基奥涅乌尔根奇,TKM,Central Asia / 中亚,154,3600,5,,B,A,C,B,B,B,C,B,C,,56
