Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Eastern Zhou / 东周,-770,-256,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Ji Yijiu / 姬宜臼,Luoyi / 雒邑,Luoyang / 洛阳,CHN,East Asia / 东亚,514,50,0.5,,S,D,D,D,D,A,C,C,C,,39
Roman Kingdom / 罗马王国,-753,-509,Latin / 拉丁（古意大利）,Old Latin / 古体拉丁语,Roman Polytheism / 罗马多神教,Romulus / 罗慕路斯,Rome / 罗马,Rome / 罗马,ITA,South Europe / 南欧,244,10,0.1,,A,D,D,C,C,C,C,C,C,,38
Qedarite Confederation / 基达尔联盟,-750,-410,Arab / 阿拉伯,Old Arabic / 古阿拉伯语,North Arabian Polytheism / 北阿拉伯多神教,Queen Zabibe / 扎比贝女王,Dumat al-Jandal / 杜马特,Dumat al-Jandal / 杜马特,SAU,West Asia / 西亚,340,400,0.1,,A,C,D,C,C,D,D,C,D,,33
Twenty-fourth Dynasty of Egypt / 古埃及（第二十四王朝）,-732,-720,Ancient Egyptian / 古埃及,Late Egyptian / 新埃及语,Ancient Egyptian Religion / 古埃及宗教,Tefnakht / 特弗纳赫特,Sais / 塞易斯,Sa el-Hajar / 萨艾尔哈贾尔,EGY,North Africa / 北非,12,20,1,,D,D,D,C,C,C,C,C,C,,35
Avanti / 阿槃提,-700,-300,Indo-Aryan / 印度-雅利安,Maharashtri Prakrit / 摩诃剌陀俗语,Vedism / 吠陀教,Pradyota / 普罗调陀,Ujjayini / 邬阇衍那,Ujjain / 乌贾因,IND,South Asia / 南亚,400,83,6.5,,A,D,C,B,B,B,C,C,C,,49
Gandhara / 健驮逻,-700,-518,Indo-Aryan / 印度-雅利安,Gandhari / 健驮逻语,Vedism / 吠陀教,Subala / 苏巴拉,Takṣaśila / 呾叉始罗,Taxila / 塔克西拉,PAK,South Asia / 南亚,182,30,1.8,,B,D,D,B,C,B,C,C,C,,43
Surasena / 苏罗娑,-700,-300,Indo-Aryan / 印度-雅利安,Shauraseni Prakrit / 首罗犀那语,Vedism / 吠陀教,Surasena / 苏罗娑,Mathura / 秣菟罗,Mathura / 马图拉,IND,South Asia / 南亚,400,10,0.8,,A,D,D,C,C,B,D,C,C,,38
D'mt / 达厄马特,-700,-400,Sabaean / 示巴,Sabaic / 示巴语,South Arabian Polytheism / 南阿拉伯多神教,W'rn Hywt / 瓦尔恩·赫尤特,Yeha / 耶哈,Yeha / 耶哈,ETH,East Africa / 东非,300,150,0.2,,A,C,D,C,D,C,C,C,D,,36
Asmaka / 阿湿波,-700,-345,Indo-Aryan / 印度-雅利安,Maharashtri Prakrit / 摩诃剌陀俗语,Vedism / 吠陀教,Brahmadatta / 梵授,Podana / 褒怛那,Bodhan / 博丹,IND,South Asia / 南亚,355,30,1.8,,A,D,D,C,C,C,D,C,C,,35
Median Kingdom / 米底王国,-678,-550,Medes / 米底,Median / 米底语,Ancient Iranian Polytheism / 古伊朗多神教,Phraortes / 弗拉欧尔特斯,Ecbatana / 埃克巴坦那,Hamadan / 哈马丹,IRN,West Asia / 西亚,128,2800,5,,B,B,C,C,B,C,C,C,C,,46
Twenty-sixth Dynasty of Egypt / 古埃及（第二十六王朝）,-664,-525,Ancient Egyptian / 古埃及,Demotic Egyptian / 世俗埃及语,Ancient Egyptian Religion / 古埃及宗教,Psamtik I / 普萨美提克一世,Sais / 塞易斯,Sa el-Hajar / 萨艾尔哈贾尔,EGY,North Africa / 北非,139,80,3,,B,D,C,B,C,B,C,B,B,,48
Macedonia / 马其顿王国（亚历山大帝国）,-653,-168,Greek / 希腊,Ancient Greek / 古希腊语,Ancient Greek Polytheism / 古希腊多神教,Perdiccas I / 佩尔狄卡斯一世,Aegai / 艾加伊,Vergina / 维尔吉纳,GRC,South Europe / 南欧,485,5200,40,,A,A,A,A,S,S,B,B,B,,80
Kosala / 拘萨罗,-650,-450,Indo-Aryan / 印度-雅利安,Shauraseni Prakrit / 首罗犀那语,Vedism / 吠陀教,Ikshvaku / 甘蔗王,Shravasti / 舍卫城,Shravasti / 谢拉瓦斯蒂,IND,South Asia / 南亚,200,68,4,,A,D,C,B,B,A,C,C,C,,52
Malla / 末罗,-650,-350,Indo-Aryan / 印度-雅利安,Magadhi Prakrit / 摩揭陀俗语,Vedism / 吠陀教,Gaṇasaṅgha / 贵族共和,Kushinagar / 拘尸那揭罗,Kasia / 卡西亚,IND,South Asia / 南亚,300,5,0.8,,A,D,D,C,C,C,D,B,C,,37
Vatsa / 跋蹉,-650,-250,Indo-Aryan / 印度-雅利安,Shauraseni Prakrit / 首罗犀那语,Vedism / 吠陀教,Nicakṣu / 尼拘拘,Kosambi / 㤭赏弥,Yamuna River Valley / 亚穆纳河谷,IND,South Asia / 南亚,400,15,1.2,,A,D,D,C,C,C,D,C,C,,35
Neo-Babylonian Empire / 新巴比伦帝国,-626,-539,Chaldean / 迦勒底,Akkadian / 阿卡德语,Mesopotamia Polytheism / 美索不达米亚多神教,Nabopolassar / 那波帕拉萨尔,Babylon / 巴比伦,Hillah / 希拉,IRQ,West Asia / 西亚,87,500,6,,C,C,C,A,B,A,B,B,B,,61
Kingdom of Sheba / 示巴王国,-620,275,Sabaean / 示巴,Sabaic / 示巴语,South Arabian Polytheism / 南阿拉伯多神教,Karib'il Watar / 卡里比尔·瓦塔尔,Marib / 马里卜,Marib / 马里卜,YEM,West Asia / 西亚,895,200,0.2,,S,C,D,B,C,B,C,C,C,,47
Achaemenid Empire / 阿契美尼德王朝,-550,-330,Persian / 波斯,Old Persian / 古波斯语,Zoroastrianism / 祆教,Cyrus the Great / 居鲁士二世,Persepolis / 波斯波利斯,Marvdasht / 马尔乌达什特,IRN,West Asia / 西亚,220,5500,25,,A,A,B,A,A,A,B,A,B,,74
